x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,yvliang
1.901,-0.248,-0.821,-3.627,1.097,-3.627,4.251,-0.742,-0.884,-3.838,4.208,-8.333,0
1.894,-0.241,-0.833,-3.622,1.1,-3.622,4.249,-0.68,-0.883,-3.84,4.212,-8.329,0
1.902,-0.241,-0.83,-3.635,1.098,-3.635,4.251,-0.693,-0.878,-3.838,4.212,-8.325,0
1.894,-0.247,-0.836,-3.629,1.095,-3.629,4.25,-0.681,-0.88,-3.827,4.208,-8.316,0
1.898,-0.243,-0.838,-3.626,1.099,-3.626,4.265,-0.639,-0.879,-3.828,4.206,-8.317,0
1.898,-0.249,-0.85,-3.627,1.1,-3.627,4.266,-0.619,-0.879,-3.84,4.208,-8.317,0
1.902,-0.25,-0.852,-3.617,1.096,-3.617,4.266,-0.64,-0.882,-3.828,4.205,-8.308,0
1.897,-0.245,-0.855,-3.628,1.089,-3.628,4.26,-0.65,-0.879,-3.822,4.211,-8.312,0
1.9,-0.234,-0.854,-3.619,1.092,-3.619,4.26,-0.658,-0.89,-3.835,4.218,-8.325,0
1.895,-0.236,-0.853,-3.621,1.087,-3.621,4.266,-0.67,-0.89,-3.842,4.217,-8.331,0
1.901,-0.229,-0.852,-3.631,1.081,-3.631,4.265,-0.739,-0.88,-3.825,4.214,-8.324,0
1.896,-0.232,-0.842,-3.627,1.079,-3.627,4.253,-0.837,-0.884,-3.831,4.222,-8.316,0
1.901,-0.244,-0.841,-3.623,1.091,-3.623,4.264,-0.622,-0.884,-3.827,4.212,-8.321,0
1.907,-0.237,-0.855,-3.621,1.084,-3.621,4.266,-0.656,-0.886,-3.832,4.22,-8.314,0
1.89,-0.236,-0.849,-3.63,1.091,-3.63,4.272,-0.674,-0.879,-3.833,4.226,-8.323,0
1.896,-0.241,-0.844,-3.627,1.09,-3.627,4.262,-0.745,-0.882,-3.843,4.222,-8.323,0
1.896,-0.247,-0.847,-3.627,1.096,-3.627,4.271,-0.696,-0.879,-3.829,4.225,-8.325,0
1.895,-0.248,-0.839,-3.626,1.089,-3.626,4.269,-0.62,-0.869,-3.828,4.229,-8.325,0
1.898,-0.241,-0.838,-3.613,1.092,-3.613,4.27,-0.584,-0.88,-3.834,4.218,-8.328,0
